point_id,fire_date,image_date,longitude,latitude,NDVI,NDWI,NBR,NDRE,VV,VH
2024323_+72110+17219,2024-11-18T00:00:00,2024-06-11T00:00:00,74.4492744207828,31.938176329487977,,,,,-15.211266859381743,-27.495717201953575
2024323_+72132+17182,2024-11-18T00:00:00,2024-06-11T00:00:00,74.64689968962182,32.07188414107241,,,,,-12.5178468772908,-19.492732774253028
2024323_+72145+17190,2024-11-18T00:00:00,2024-06-11T00:00:00,74.66731203185766,32.037663670006665,,,,,-13.32767227725627,-22.2799119234356
2024323_+72150+17175,2024-11-18T00:00:00,2024-06-11T00:00:00,74.7271421450961,32.08656422721078,,,,,-12.619228700942337,-23.834622740808907
2024323_+72162+17207,2024-11-18T00:00:00,2024-06-11T00:00:00,74.68882903794082,31.97864575613965,,,,,-11.231223082350304,-20.200044391369637
2024323_+72172+17222,2024-11-18T00:00:00,2024-06-11T00:00:00,74.69787588485426,31.928058972825056,,,,,-9.29770593034426,-19.370676553516084
2024323_+72177+17215,2024-11-18T00:00:00,2024-06-11T00:00:00,74.73019973074203,31.941548781708956,,,,,-15.597924796817589,-27.214330194070577
2024323_+72199+17770,2024-11-18T00:00:00,2024-06-11T00:00:00,73.36259288675905,30.079955155732037,,,,,,
2024323_+72221+17780,2024-11-18T00:00:00,2024-06-11T00:00:00,73.42873978724084,30.047242369188602,,,,,,
2024323_+72248+17353,2024-11-18T00:00:00,2024-06-11T00:00:00,74.62559189879346,31.480989111010036,,,,,-7.5053259793540565,-13.64903655558632
2024323_+72261+17723,2024-11-18T00:00:00,2024-06-11T00:00:00,73.71873473875375,30.238460410117757,,,,,-14.208022268611444,-23.796524417994213
2024323_+72270+17654,2024-11-18T00:00:00,2024-06-11T00:00:00,73.94122795492285,30.47181944097332,,,,,-14.521193710750877,-23.95667674563978
2024323_+72288+17627,2024-11-18T00:00:00,2024-06-11T00:00:00,74.08327088210679,30.56374875615884,,,,,-10.74652504948271,-23.112089884898026
2024323_+72293+17694,2024-11-18T00:00:00,2024-06-11T00:00:00,73.9109349302617,30.331135397150085,,,,,-13.15093473371042,-17.819260335166888
2024323_+72301+17575,2024-11-18T00:00:00,2024-06-11T00:00:00,74.27027697120366,30.73758333882171,,,,,-9.543103650987666,-22.64128060228721
2024324_+71767+17548,2024-11-19T00:00:00,2024-06-11T00:00:00,72.2121580608064,30.828639548787972,,,,,,
2024325_+71601+17303,2024-11-20T00:00:00,2024-06-11T00:00:00,72.20482531620087,31.654890342926276,,,,,-10.258399466634787,-22.32839305935004
2024325_+71656+17565,2024-11-20T00:00:00,2024-06-11T00:00:00,71.74629786242643,30.778052765473383,,,,,-7.176120727247528,-17.519924645275637
2024325_+71663+17333,2024-11-20T00:00:00,2024-06-11T00:00:00,72.3757104767889,31.55877545462855,,,,,,
2024325_+71675+17588,2024-11-20T00:00:00,2024-06-11T00:00:00,71.76128000136417,30.695427686059546,,,,,-9.969524459419587,-20.10458407667615
2024325_+71732+17585,2024-11-20T00:00:00,2024-06-11T00:00:00,72.01296654840263,30.713914293417638,,,,,-7.579176099470777,-17.05753103008454
2024325_+71791+17192,2024-11-20T00:00:00,2024-06-11T00:00:00,73.25421773636204,32.02923253945424,,,,,,
2024325_+71806+17600,2024-11-20T00:00:00,2024-06-11T00:00:00,72.23896606153326,30.666761842181288,,,,,,
2024325_+71814+17617,2024-11-20T00:00:00,2024-06-11T00:00:00,72.24345609589503,30.601561099242485,,,,,,
2024325_+71836+17607,2024-11-20T00:00:00,2024-06-11T00:00:00,72.34346749634356,30.629664867750584,,,,,,
2024325_+71913+17252,2024-11-20T00:00:00,2024-06-11T00:00:00,73.5735658698017,31.82662598679427,,,,,,
2024325_+71925+17237,2024-11-20T00:00:00,2024-06-11T00:00:00,73.65688437658267,31.879158415620953,,,,,,
2024325_+72024+17422,2024-11-20T00:00:00,2024-06-11T00:00:00,73.56877290790433,31.253568528630524,,,,,,
2024325_+72031+17442,2024-11-20T00:00:00,2024-06-11T00:00:00,73.53534987960404,31.187805710321562,,,,,,
